Text,Toxic,Abusive,Threat,Provocative,Obscene,Hatespeech,Racist,Nationalist,Sexist,Homophobic,ReligiousHate,Radicalism,Sentiment,Cleaned_Text
only people would just take step back make this case about them because wasnt about anyone except people that situation lump yourself into this mess take matters into your hands makes these kinds protests selfish without rational thought investigation this video heavily emotional hyped wants heard when gets heard just presses more more never have reasonable discussion kudos smerconish keeping level whole time letting masri make himself fool dare those that tore that city down protest make this about themselves dishonor entire incident with their hate way since when police brutality become epidemic wish everyone would just stop pretending like they were there they knew exactly what going because theres measurable amount people that honestly witnessed this incident none have clue which this whole issue should have swung grand jury were most informed have trust majority rule right course action also thank 99999 police officers america that actually serve protect even youre jerk when pull over respect your know that someone that many people going pout about being held accountable their actions people hate police until they need officer around emergency,False,False,False,False,False,False,False,False,False,False,False,False,Negative,people would take step back make case wasnt anyone except people situation lump mess take matter hand make kind protest selfish without rational thought investigation video heavily emotional hyped want heard get heard press never reasonable discussion kudos smerconish keeping level whole time letting masri make fool dare tore city protest make dishonor entire incident hate way since police brutality become epidemic wish everyone would stop pretending like knew exactly going there measurable amount people honestly witnessed incident none clue whole issue swung grand jury informed trust majority rule right course action also thank police officer america actually serve protect even youre jerk pull respect know someone many people going pout held accountable action people hate police need officer around emergency
enforcement trained shoot apprehend they trained shoot kill thank wilson killing that punk bitch,True,True,False,False,False,False,False,False,False,False,False,False,Negative,enforcement trained shoot apprehend trained shoot kill thank wilson killing punk bitch
dont reckon them black lives matter banners being held white cunts kinda patronizing ironically racist could they have come with somethin better just what white folks give them selves pride ooo look being nice black people does always have about race actually whole world pussyfootin around fear being racist fuckin daft man,True,True,False,False,True,False,False,False,False,False,False,False,Negative,dont reckon black life matter banner held white cunt kinda patronizing ironically racist could come somethin better white folk give self pride ooo look nice black people always race actually whole world pussyfootin around fear racist fuckin daft man
there very large number people like police officers they called criminals reason have police officers fact that criminals like police officers testament good work that police officers protecting public when children family danger hessitate call help call police about time people stopped complaining started give police some respect hard work dedication that often requires them their lives line serve public,False,False,False,False,False,False,False,False,False,False,False,False,Negative,large number people like police officer called criminal reason police officer fact criminal like police officer testament good work police officer protecting public child family danger hessitate call help call police time people stopped complaining started give police respect hard work dedication often requires life line serve public
arab dude absolutely right should have been shot extra time shoot once attacking that would stop attack shoot twice hes still attacking you times that shoot kill opinion,False,False,False,False,False,False,False,False,False,False,False,False,Negative,arab dude absolutely right shot extra time shoot attacking would stop attack shoot twice he still attacking time shoot kill opinion
here people facebook httpswwwfacebookcombassemmasri520 ties with isis other terrorist groups muslim extremist,True,False,False,False,False,True,False,False,False,False,True,False,Negative,people facebook tie isi terrorist group muslim extremist
check this tube post black goes epic rant against ferguson rioters although message delivered with childish cartoonish emotions very african americans gets,True,False,False,False,False,True,True,False,False,False,False,False,Negative,check tube post black go epic rant ferguson rioter although message delivered childish cartoonish emotion african american get
would love this pussy staten island spit cop would love happen mike brown strong thug people burning ferguson down eric garnier nothing wrong choked death protest mafia controlled staten island burning cars nothing,True,True,False,False,True,True,True,False,False,False,False,False,Negative,would love pussy staten island spit cop would love happen mike brown strong thug people burning ferguson eric garnier nothing wrong choked death protest mafia controlled staten island burning car nothing
agree with protestor,False,False,False,False,False,False,False,False,False,False,False,False,Positive,agree protestor
mike browns father made that boooshit,True,True,False,False,True,False,False,False,False,False,False,False,Negative,mike brown father made boooshit
right point dont judge speaking abilities judge messege racist fucks suck dick like always media focusing thing that dont matter shit,True,True,False,False,True,False,False,False,False,False,False,False,Negative,right point dont judge speaking ability judge messege racist fuck suck dick like always medium focusing thing dont matter shit
moral story dont reach cops because youre probably gunna shot white black,False,False,False,False,False,False,False,False,False,False,False,False,Negative,moral story dont reach cop youre probably gunna shot white black
masri about close isis america,True,True,False,False,False,False,False,False,False,False,False,False,Negative,masri close isi america
know with chimpers there compassion their pumping hearts,True,False,False,False,False,True,True,False,False,False,False,False,Negative,know chimpers compassion pumping heart
believe whatever wanna believe dont care what them have say bassem masri idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative,believe whatever wanna believe dont care say bassem masri idiot
bassem masri terrorist part isis,True,False,False,False,False,True,False,False,False,False,True,False,Negative,bassem masri terrorist part isi
wouldnt waist time trying reason with this police spitting thug trying defend criminal brown losing matter grand jury made theyre decision live with,True,True,False,True,False,False,False,False,False,False,False,False,Negative,wouldnt waist time trying reason police spitting thug trying defend criminal brown losing matter grand jury made theyre decision live
wish masri dead,True,True,False,False,False,False,False,False,False,False,False,False,Negative,wish masri dead
thus with collapse usa only possibilities considered whereby with one boils down dictatorship with evil reprisals while other possibility reconstruction people fundamentally conscious their responsibilities attain government really everything bring about effective valuable start whether this will actually occur currently extremely questionable because presently totalitarian manner everything directed towards interests which economic military political cultural well towards that which strict fundamentalist religioussectarian based enormous lies devious misanthropic criminal felonious machinations every imaginable regard this also means that population spied upon secret services even severely within neighbourhoods forth and every possible manner being restricted freedom this addition violence emerges some form other both openly covertly,False,False,False,False,False,False,False,False,False,False,False,False,Negative,thus collapse usa possibility considered whereby one boil dictatorship evil reprisal possibility reconstruction people fundamentally conscious responsibility attain government really everything bring effective valuable start whether actually occur currently extremely questionable presently totalitarian manner everything directed towards interest economic military political cultural well towards strict fundamentalist religioussectarian based enormous lie devious misanthropic criminal felonious machination every imaginable regard also mean population spied upon secret service even severely within neighbourhood forth every possible manner restricted freedom addition violence emerges form openly covertly
actually shout fire crowded theater christopher hitchens demonstrated this talk about free speech look interviewee correct cops serve public other around consistent with serving that public that police department represent that publics race ethnicity ranks hire bunch big tough black guys police department will have fewer blacks being shot death puny white felt humiliated when bitch slapped teenager,True,True,False,False,True,False,False,False,False,False,False,False,Negative,actually shout fire crowded theater christopher hitchens demonstrated talk free speech look interviewee correct cop serve public around consistent serving public police department represent public race ethnicity rank hire bunch big tough black guy police department fewer black shot death puny white felt humiliated bitch slapped teenager
think kill,True,True,False,False,False,False,False,False,False,False,False,False,Negative,think kill
legalize marijuana then problems will stop,False,False,False,False,False,False,False,False,False,False,False,False,Negative,legalize marijuana problem stop
word provocateur,False,False,False,False,False,False,False,False,False,False,False,False,Negative,word provocateur
lol this what happens when greedy rich slime keep masses uneducated ignorant deal with stupid that created trying reason with irrational exercise futility popcorn ready its about boil over fall talk will fall just walking,True,True,False,False,False,False,False,False,False,False,False,False,Negative,lol happens greedy rich slime keep mass uneducated ignorant deal stupid created trying reason irrational exercise futility popcorn ready boil fall talk fall walking
legal system inherently racist same this reporter,True,True,False,False,False,False,False,False,False,False,False,False,Negative,legal system inherently racist reporter
looks ready heads must isis sympathizer going maybe care about issue hand other just want loot stores fuck shit up,True,False,False,False,False,True,False,False,False,False,True,False,Negative,look ready head must isi sympathizer going maybe care issue hand want loot store fuck shit
lol shoot apprehend idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative,lol shoot apprehend idiot
this case overshadowed cops that murdered with fake sword saratoga springs utah just much outraged mike brown case murder that happened utah just about same deal cops provided with lethal weapons shooting utah unwarranted because ran dont know lunged police with fake sword should have taken that opportunity immediate action right then shot times back know large group cops corrupt these murderers nothing new though have from police many times when teens cops just pursue find hiding some where just bullets back ending life they said some paper saratoga springs about black population have been through there would they were about,False,False,False,False,False,False,False,False,False,False,False,False,Negative,case overshadowed cop murdered fake sword saratoga spring utah much outraged mike brown case murder happened utah deal cop provided lethal weapon shooting utah unwarranted ran dont know lunged police fake sword taken opportunity immediate action right shot time back know large group cop corrupt murderer nothing new though police many time teen cop pursue find hiding bullet back ending life said paper saratoga spring black population would
this zionist look jewnesss face only employ zionist sympathisers neocon racists wolf blitzer emplpyeee,True,False,False,False,False,True,True,False,False,False,False,False,Negative,zionist look jewnesss face employ zionist sympathiser neocon racist wolf blitzer emplpyeee
there blood street worried about words  getting very tired with mainstream media treating like idiots will follow their condescending irrelevant distracting disparaging narrative step,False,False,False,False,False,False,False,False,False,False,False,False,Negative,blood street worried word getting tired mainstream medium treating like idiot follow condescending irrelevant distracting disparaging narrative step
stop being criminals wont shot that simple,True,True,False,True,False,False,False,False,False,False,False,False,Negative,stop criminal wont shot simple
like turtles,False,False,False,False,False,False,False,False,False,False,False,False,Positive,like turtle
massri needs education,True,True,False,False,False,False,False,False,False,False,False,False,Negative,massri need education
mother fuckersfuck peace shit,True,True,False,False,True,False,False,False,False,False,False,False,Negative,mother fuckersfuck peace shit
hers statement think sheep butt fucker masri should take fight syria,True,True,False,True,True,True,True,False,False,False,False,False,Negative,statement think sheep butt fucker masri take fight syria
hahahahaha this bassmasters character always teste bassmaster semiretarded character crosseyed just like this,True,True,False,False,False,False,False,False,False,False,False,False,Negative,hahahahaha bassmasters character always teste bassmaster semiretarded character crosseyed like
these childish cops sleep night,False,False,False,False,False,False,False,False,False,False,False,False,Negative,childish cop sleep night
completely idiot having minutrs fame,True,True,False,False,False,False,False,False,False,False,False,False,Negative,completely idiot minutrs fame
hope guys still falling same banana tailpipe bullshit news that theyre giving,True,True,False,False,False,False,False,False,False,False,False,False,Negative,hope guy still falling banana tailpipe bullshit news theyre giving
such bullcrap,True,True,False,False,False,False,False,False,False,False,False,False,Negative,bullcrap
alright this entire case crap these people saying that white people being racist calling them names just racist would like call there have been extensive investigations that prove that this boys death self defense however defending whole thing but defending helpless citizens ferguson this died dont care white black what care about people ferguson treating their town they really cared about this incident they would hold memorials express their feelingsthis helping themselves justice what really matters that this dead something been done about grand jury decided just over,False,False,False,False,False,False,False,False,False,False,False,False,Negative,alright entire case crap people saying white people racist calling name racist would like call extensive investigation prove boy death self defense however defending whole thing defending helpless citizen ferguson died dont care white black care people ferguson treating town really cared incident would hold memorial express feelingsthis helping justice really matter dead something done grand jury decided
this doesnt know what happened didnt have hands,False,False,False,False,False,False,False,False,False,False,False,False,Negative,doesnt know happened didnt hand
lookin like pussies,True,True,False,False,True,False,False,False,False,False,False,False,Negative,lookin like pussy
smirconnish most evenhanded world this masri idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative,smirconnish evenhanded world masri idiot
masri total idiot dont have know evidence just come conclusions instead here clue dont attack take then rush after finally gets wont shot duhhh what would masri take brown icecream beating into ground defend himself btw browns momma gramma violently assaulted some people were selling tshirts memory brown people hospital stole their money trashed their shop will probably charged know what sort mentality brown raised thug wanna caused death,True,True,False,False,False,True,True,False,False,False,False,False,Negative,masri total idiot dont know evidence come conclusion instead clue dont attack take rush finally get wont shot duhhh would masri take brown icecream beating ground defend btw brown momma gramma violently assaulted people selling tshirts memory brown people hospital stole money trashed shop probably charged know sort mentality brown raised thug wanna caused death
take break because bassem making much sense debate further,False,False,False,False,False,False,False,False,False,False,False,False,Negative,take break bassem making much sense debate
lets reverse rolls black racist cops rich white communitiesbut cant prove there racist when white gets pissed this intolerable condition unload several clips high caliber ammo point blank range audacity questioning authority americans need full alert this elitist agenda presidents questioning authority elitist upperclass problem prison culture drug cartels exporting jobs importing cheap labor while elitist bailed support this corrupt system turn this around when past race issue govt incites divide working class hardly call working class because govt everyone work more homeless class western history role money plays this clusterfuck designed destroy nation that destroyed this point back how,True,False,False,False,False,True,True,False,False,False,False,False,Negative,let reverse roll black racist cop rich white communitiesbut cant prove racist white get pissed intolerable condition unload several clip high caliber ammo point blank range audacity questioning authority american need full alert elitist agenda president questioning authority elitist upperclass problem prison culture drug cartel exporting job importing cheap labor elitist bailed support corrupt system turn around past race issue govt incites divide working class hardly call working class govt everyone work homeless class western history role money play clusterfuck designed destroy nation destroyed point back
this moron talking about being peaceful their burning nations flag idiot even though thats what suppose when its they have knowledge they babies making noise,True,True,False,False,False,False,False,False,False,False,False,False,Negative,moron talking peaceful burning nation flag idiot even though thats suppose knowledge baby making noise
this agent provocateur operative kickstart riots american civil war hes african american rehearsed ebonics transparent,False,False,False,False,False,False,False,False,False,False,False,False,Negative,agent provocateur operative kickstart riot american civil war he african american rehearsed ebonics transparent
someone shoot this black idiot too that would make giggle inside,True,True,False,True,False,True,True,False,False,False,False,False,Negative,someone shoot black idiot would make giggle inside
people sick this speaking truth yall just mad trying justify young nothing shot killed smh yall devil disease this earth ill glad when burns your asses into extinction have planet back half animal half devil cave beasts,True,True,False,True,True,False,False,False,False,False,False,False,Negative,people sick speaking truth yall mad trying justify young nothing shot killed smh yall devil disease earth ill glad burn ass extinction planet back half animal half devil cave beast
world changing police isis gonna come here thats when time kill these faucks,True,True,True,True,False,True,False,False,False,False,True,False,Negative,world changing police isi gonna come thats time kill faucks
propaganda most part people them hear ferguson too,False,False,False,False,False,False,False,False,False,False,False,False,Negative,propaganda part people hear ferguson
what waste time talking that idiot you know what sayin ill believe what want believe yup hell with facts evidence loser,True,True,False,False,False,False,False,False,False,False,False,False,Negative,waste time talking idiot know sayin ill believe want believe yup hell fact evidence loser
news fucktardspuppet playersall they paid liars,True,True,False,False,False,False,False,False,False,False,False,False,Negative,news fucktardspuppet playersall paid liar
bassem right express himselfwe have freedom expressionwe have that rightits amendment constitutioni dont think that competent after all,False,False,False,False,False,False,False,False,False,False,False,False,Positive,bassem right express himselfwe freedom expressionwe rightits amendment constitutioni dont think competent
does this riot before after work orrrr guess fucks doing nothing,True,True,False,False,False,False,False,False,False,False,False,False,Negative,riot work orrrr guess fuck nothing
masri 100 right couldnt better myself,False,False,False,False,False,False,False,False,False,False,False,False,Negative,masri right couldnt better
anyone tell racist white shoots black man racist when black shoots white man these cases turn instantly into racist ones makes sense,False,False,False,False,False,False,False,False,False,False,False,False,Negative,anyone tell racist white shoot black man racist black shoot white man case turn instantly racist one make sense
racial profiling police intimidation robbed store killed result fucking excuses man black people shouldnt have arrested when they commit strong robbery when black people violent they shouldnt have fear getting down like animal actually said shouldnt have worry about warrants lol fucking piece human garbage,True,True,False,False,False,False,False,False,False,False,False,False,Negative,racial profiling police intimidation robbed store killed result fucking excuse man black people shouldnt arrested commit strong robbery black people violent shouldnt fear getting like animal actually said shouldnt worry warrant lol fucking piece human garbage
wrong mother fucker shoot apprehend,True,True,False,False,True,False,False,False,False,False,False,False,Negative,wrong mother fucker shoot apprehend
black white crimes seems topic after ferguson case just came here brag about finnish cops that used firearm times last year time towards human times warn times kill wounded animal million here capita,False,False,False,False,False,False,False,False,False,False,False,False,Negative,black white crime seems topic ferguson case came brag finnish cop used firearm time last year time towards human time warn time kill wounded animal million caput
heading reads when protesters take,False,False,False,False,False,False,False,False,False,False,False,False,Negative,heading read protester take
this muslim does have anything mind peace wants stir dissonance trouble among americans using racist accusations that goal,True,False,False,False,False,True,False,False,False,False,True,False,Negative,muslim anything mind peace want stir dissonance trouble among american using racist accusation goal
another imbecile bunch reporter incompetent bastard,True,True,False,False,False,False,False,False,False,False,False,False,Negative,another imbecile bunch reporter incompetent bastard
this interviewer right this should show some respect paramilitary police that killing getting away with,True,True,False,True,False,False,False,False,False,False,False,False,Negative,interviewer right show respect paramilitary police killing getting away
some dumb people,True,True,False,False,False,False,False,False,False,False,False,False,Negative,dumb people
bassem think walmart hiring holidays loser,True,True,False,False,False,False,False,False,False,False,False,False,Negative,bassem think walmart hiring holiday loser
teen faces life prison brownies year gets arrested feeding poor police officer free with charges whatsoever killing teenager dont people wrong this,False,False,False,False,False,False,False,False,False,False,False,False,Negative,teen face life prison brownie year get arrested feeding poor police officer free charge whatsoever killing teenager dont people wrong
you know what sayin,False,False,False,False,False,False,False,False,False,False,False,False,Negative,know sayin
yeah right white shot black hell break lose black shot black protest maybe they start doing protest black shotting black thier story,True,False,False,False,False,True,True,False,False,False,False,False,Negative,yeah right white shot black hell break lose black shot black protest maybe start protest black shotting black thier story
lets steal from convenience store then lets punch face shot times then lets black people white apologists around street setting buildings fire fucking dirty gutter rats living welfare causing violence just look where rest black people live dirties ebola plague ridden continent lucky white countries come over cure their dumb asses,True,False,False,False,False,True,True,False,False,False,False,False,Negative,let steal convenience store let punch face shot time let black people white apologist around street setting building fire fucking dirty gutter rat living welfare causing violence look rest black people live dirties ebola plague ridden continent lucky white country come cure dumb ass
with this dude fuck punk police,True,True,False,False,True,False,False,False,False,False,False,False,Negative,dude fuck punk police
what stupid arab police shoot apprehend lmao thats works when they being attacked,True,False,False,False,False,True,True,False,False,False,False,False,Negative,stupid arab police shoot apprehend lmao thats work attacked
509 plain simple truth,False,False,False,False,False,False,False,False,False,False,False,False,Positive,plain simple truth
lmfao this dude taking like that hear talking dont know what hes saying,False,False,False,False,False,False,False,False,False,False,False,False,Positive,lmfao dude taking like hear talking dont know he saying
understand their anger answer,False,False,False,False,False,False,False,False,False,False,False,False,Negative,understand anger answer
didnt nuffinz,False,False,False,False,False,False,False,False,False,False,False,False,Negative,didnt nuffinz
