Text,Toxic,Abusive,Threat,Provocative,Obscene,Hatespeech,Racist,Nationalist,Sexist,Homophobic,ReligiousHate,Radicalism,Sentiment
only people would just take step back make this case about them because wasnt about anyone except people that situation lump yourself into this mess take matters into your hands makes these kinds protests selfish without rational thought investigation this video heavily emotional hyped wants heard when gets heard just presses more more never have reasonable discussion kudos smerconish keeping level whole time letting masri make himself fool dare those that tore that city down protest make this about themselves dishonor entire incident with their hate way since when police brutality become epidemic wish everyone would just stop pretending like they were there they knew exactly what going because theres measurable amount people that honestly witnessed this incident none have clue which this whole issue should have swung grand jury were most informed have trust majority rule right course action also thank 99999 police officers america that actually serve protect even youre jerk when pull over respect your know that someone that many people going pout about being held accountable their actions people hate police until they need officer around emergency,False,False,False,False,False,False,False,False,False,False,False,False,Negative
enforcement trained shoot apprehend they trained shoot kill thank wilson killing that punk bitch,True,True,False,False,False,False,False,False,False,False,False,False,Negative
dont reckon them black lives matter banners being held white cunts kinda patronizing ironically racist could they have come with somethin better just what white folks give them selves pride ooo look being nice black people does always have about race actually whole world pussyfootin around fear being racist fuckin daft man,True,True,False,False,True,False,False,False,False,False,False,False,Negative
there very large number people like police officers they called criminals reason have police officers fact that criminals like police officers testament good work that police officers protecting public when children family danger hessitate call help call police about time people stopped complaining started give police some respect hard work dedication that often requires them their lives line serve public,False,False,False,False,False,False,False,False,False,False,False,False,Negative
arab dude absolutely right should have been shot extra time shoot once attacking that would stop attack shoot twice hes still attacking you times that shoot kill opinion,False,False,False,False,False,False,False,False,False,False,False,False,Negative
here people facebook httpswwwfacebookcombassemmasri520 ties with isis other terrorist groups muslim extremist,True,False,False,False,False,True,False,False,False,False,True,False,Negative
check this tube post black goes epic rant against ferguson rioters although message delivered with childish cartoonish emotions very african americans gets,True,False,False,False,False,True,True,False,False,False,False,False,Negative
would love this pussy staten island spit cop would love happen mike brown strong thug people burning ferguson down eric garnier nothing wrong choked death protest mafia controlled staten island burning cars nothing,True,True,False,False,True,True,True,False,False,False,False,False,Negative
agree with protestor,False,False,False,False,False,False,False,False,False,False,False,False,Positive
mike browns father made that boooshit,True,True,False,False,True,False,False,False,False,False,False,False,Negative
right point dont judge speaking abilities judge messege racist fucks suck dick like always media focusing thing that dont matter shit,True,True,False,False,True,False,False,False,False,False,False,False,Negative
moral story dont reach cops because youre probably gunna shot white black,False,False,False,False,False,False,False,False,False,False,False,False,Negative
masri about close isis america,True,True,False,False,False,False,False,False,False,False,False,False,Negative
know with chimpers there compassion their pumping hearts,True,False,False,False,False,True,True,False,False,False,False,False,Negative
believe whatever wanna believe dont care what them have say bassem masri idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative
bassem masri terrorist part isis,True,False,False,False,False,True,False,False,False,False,True,False,Negative
wouldnt waist time trying reason with this police spitting thug trying defend criminal brown losing matter grand jury made theyre decision live with,True,True,False,True,False,False,False,False,False,False,False,False,Negative
wish masri dead,True,True,False,False,False,False,False,False,False,False,False,False,Negative
thus with collapse usa only possibilities considered whereby with one boils down dictatorship with evil reprisals while other possibility reconstruction people fundamentally conscious their responsibilities attain government really everything bring about effective valuable start whether this will actually occur currently extremely questionable because presently totalitarian manner everything directed towards interests which economic military political cultural well towards that which strict fundamentalist religioussectarian based enormous lies devious misanthropic criminal felonious machinations every imaginable regard this also means that population spied upon secret services even severely within neighbourhoods forth and every possible manner being restricted freedom this addition violence emerges some form other both openly covertly,False,False,False,False,False,False,False,False,False,False,False,False,Negative
actually shout fire crowded theater christopher hitchens demonstrated this talk about free speech look interviewee correct cops serve public other around consistent with serving that public that police department represent that publics race ethnicity ranks hire bunch big tough black guys police department will have fewer blacks being shot death puny white felt humiliated when bitch slapped teenager,True,True,False,False,True,False,False,False,False,False,False,False,Negative
think kill,True,True,False,False,False,False,False,False,False,False,False,False,Negative
legalize marijuana then problems will stop,False,False,False,False,False,False,False,False,False,False,False,False,Negative
word provocateur,False,False,False,False,False,False,False,False,False,False,False,False,Negative
lol this what happens when greedy rich slime keep masses uneducated ignorant deal with stupid that created trying reason with irrational exercise futility popcorn ready its about boil over fall talk will fall just walking,True,True,False,False,False,False,False,False,False,False,False,False,Negative
legal system inherently racist same this reporter,True,True,False,False,False,False,False,False,False,False,False,False,Negative
looks ready heads must isis sympathizer going maybe care about issue hand other just want loot stores fuck shit up,True,False,False,False,False,True,False,False,False,False,True,False,Negative
lol shoot apprehend idiot,True,True,False,False,False,False,False,False,False,False,False,False,Negative
